NOTE 15301:  Began computing simulation run "PostDevelopment" at time 15Jun2023, 20:25:08.
     Alpha: 2.167  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "10".
     Inflow (cu m): 209.4439  Precip excess (cu m): 88.7143
     Outflow (cu m): 300.7708  Storage (cu m): 0.007
     Percent error: -0.8786
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "9".
     Alpha: 6.4282  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "9".
     Alpha: 3.5355  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "9".
     Alpha: 2.167  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "9".
     Inflow (cu m): 300.7708  Precip excess (cu m): 93.4728
     Outflow (cu m): 397.1333  Storage (cu m): 0.0072
     Percent error: -0.7348
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "62".
     Alpha: 6.4282  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "62".
     Alpha: 3.5355  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "62".
     Alpha: 2.167  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "62".
     Inflow (cu m): 397.1333  Precip excess (cu m): 92.2832
     Outflow (cu m): 492.6052  Storage (cu m): 0.0078
     Percent error: -0.6531
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "52".
     Alpha: 6.4282  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "52".
     Alpha: 3.5355  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "52".
     Alpha: 2.167  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "52".
     Inflow (cu m): 492.6052  Precip excess (cu m): 93.089
     Outflow (cu m): 590.8212  Storage (cu m): 0.0133
     Percent error: -0.8776
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "25".
     Alpha: 15.7459  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "25".
     Alpha: 8.6603  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "25".
     Alpha: 1.8131  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "25".
     Inflow (cu m): 590.8212  Precip excess (cu m): 99.9803
     Outflow (cu m): 694.6209  Storage (cu m): 0.0079
     Percent error: -0.554
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "27".
     Alpha: 15.7459  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "27".
     Alpha: 8.6603  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "27".
     Alpha: 1.8131  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "27".
     Inflow (cu m): 694.6209  Precip excess (cu m): 71.4945
     Outflow (cu m): 770.1194  Storage (cu m): 0.0074
     Percent error: -0.5236
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "28".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "28".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "28".
     Alpha: 1.6786  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "28".
     Inflow (cu m): 770.1194  Precip excess (cu m): 118.1019
     Outflow (cu m): 896.1733  Storage (cu m): 0.0272
     Percent error: -0.8983
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "33".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "33".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "33".
     Alpha: 2.3739  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "33".
     Inflow (cu m): 0  Precip excess (cu m): 83.1712
     Outflow (cu m): 84.147  Storage (cu m): 0.0018
     Percent error: -1.1754
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "34".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "34".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "34".
     Alpha: 2.3739  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "34".
     Inflow (cu m): 84.147  Precip excess (cu m): 76.2741
     Outflow (cu m): 161.9931  Storage (cu m): 0.0024
     Percent error: -0.9814
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "35".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "35".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "35".
     Alpha: 2.3739  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "35".
     Inflow (cu m): 161.9931  Precip excess (cu m): 79.9879
     Outflow (cu m): 244.0655  Storage (cu m): 0.0026
     Percent error: -0.8625
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "36".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "36".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "36".
     Alpha: 2.3739  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "36".
     Inflow (cu m): 244.0655  Precip excess (cu m): 86.3544
     Outflow (cu m): 332.8425  Storage (cu m): 0.0028
     Percent error: -0.734
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "37".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "37".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "37".
     Alpha: 2.3739  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "37".
     Inflow (cu m): 332.8425  Precip excess (cu m): 95.4029
     Outflow (cu m): 431.3773  Storage (cu m): 0.0033
     Percent error: -0.7321
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "38".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "38".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "38".
     Alpha: 2.3739  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "38".
     Inflow (cu m): 431.3773  Precip excess (cu m): 85.9519
     Outflow (cu m): 520.8808  Storage (cu m): 0.004
     Percent error: -0.6873
NOTE 40679:  Parameters for kinematic wave plane 1 for subbasin "64".
     Alpha: 12.8565  m: 1.6667
NOTE 40679:  Parameters for kinematic wave plane 2 for subbasin "64".
     Alpha: 7.0711  m: 1.6667
NOTE 40680:  Parameters for kinematic wave channel 3 for subbasin "64".
     Alpha: 2.3739  m: 1.5697
NOTE 40681:  Kinematic wave volume check for subbasin "64".
     Inflow (cu m): 520.8808  Precip excess (cu m): 75.3062
     Outflow (cu m): 599.9083  Storage (cu m): 0.0039
     Percent error: -0.6249
NOTE 15302:  Finished computing simulation run "PostDevelopment" at time 15Jun2023, 20:25:16.
NOTE 15312:  The total runtime for this simulation is 00:08.
